"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"EBAYL","eBay Inc.","27.03","0","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/ebayl",
"EBIX","Ebix, Inc.","66.15","2080552512.15","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ebix",
"ELON","Echelon Corporation","5","22270775","n/a","1998","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/elon",
"ECHO","Echo Global Logistics, Inc.","19.4","553571181.8","n/a","2009","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/echo",
"SATS","EchoStar Corporation","54.45","5208065289.9","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sats",
"EEI","Ecology and Environment, Inc.","12.2","52388044.4","n/a","1987","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/eei",
"ESES","Eco-Stim Energy Solutions, Inc.","1.47","109314780.12","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/eses",
"EDAP","EDAP TMS S.A.","3.2","93895340.8","29342294","1997","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/edap",
"EDGE","Edge Therapeutics, Inc.","10.38","320241600.96","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/edge",
"EDGW","Edgewater Technology, Inc.","6.53","91029538.65","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/edgw",
"EDIT","Editas Medicine, Inc.","22.79","951166995.24","n/a","2016","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/edit",
"EDUC","Educational Development Corporation","10.2","41731606.8","n/a","n/a","Consumer Durables","Consumer Specialties","http://www.nasdaq.com/symbol/educ",
"EGAN","eGain Corporation","3.05","83053241.55","n/a","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/egan",
"EGLT","Egalet Corporation","1.04","44770299.6","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eglt",
"EHTH","eHealth, Inc.","24.4","452261978.8","n/a","2006","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/ehth",
"EIGR","Eiger BioPharmaceuticals, Inc.","11.85","99149305.5","n/a","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/eigr",
"EKSO","Ekso Bionics Holdings, Inc.","1.17","70097709.24","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ekso",
"LOCO","El Pollo Loco Holdings, Inc.","11.45","442561621.5","n/a","2014","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/loco",
"EMITF","Elbit Imaging Ltd.","2.63","24171825.04","n/a","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/emitf",
"ESLT","Elbit Systems Ltd.","152.81","6532304154.04","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/eslt",
